,County,Two-Races,Population,Poverty,Infections,Poverty Rate,Infection Rate
137,DODGE,Non-Caucasian,1043.0,155.0,0.0,0.1486097794822627,0.0
138,DODGE,Non-Caucasian,57.0,19.0,0.0,0.3333333333333333,0.0
139,DODGE,Non-Caucasian,438.0,161.0,0.0,0.3675799086757991,0.0
140,DOUGLAS,Non-Caucasian,83.0,5.0,0.0,0.060240963855421686,0.0
141,DOUGLAS,Non-Caucasian,78.0,47.0,0.0,0.6025641025641025,0.0
142,DOUGLAS,Caucasian,36193.0,2691.0,3304.0,0.0743513939159506,0.09128837067941314
143,DOUGLAS,Non-Caucasian,116.0,0.0,0.0,0.0,0.0
144,DOUGLAS,Non-Caucasian,652.0,161.0,0.0,0.2469325153374233,0.0
145,DOUGLAS,Non-Caucasian,63.0,11.0,0.0,0.1746031746031746,0.0
146,DOUGLAS,Non-Caucasian,635.0,16.0,4.0,0.025196850393700787,0.006299212598425197
147,FARIBAULT,Non-Caucasian,39.0,0.0,0.0,0.0,0.0
148,FARIBAULT,Non-Caucasian,49.0,7.0,0.0,0.14285714285714285,0.0
149,FARIBAULT,Caucasian,12376.0,1095.0,0.0,0.08847769877181642,0.0
150,FARIBAULT,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
151,FARIBAULT,Non-Caucasian,976.0,275.0,0.0,0.2817622950819672,0.0
152,FARIBAULT,Non-Caucasian,27.0,2.0,0.0,0.07407407407407407,0.0
153,FARIBAULT,Non-Caucasian,260.0,74.0,0.0,0.2846153846153846,0.0
154,FILLMORE,Non-Caucasian,97.0,25.0,0.0,0.25773195876288657,0.0
155,FILLMORE,Non-Caucasian,115.0,3.0,0.0,0.02608695652173913,0.0
156,FILLMORE,Caucasian,20087.0,1724.0,1228.0,0.08582665405486135,0.0611340668093792
157,FILLMORE,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
158,FILLMORE,Non-Caucasian,364.0,101.0,0.0,0.2774725274725275,0.0
159,FILLMORE,Non-Caucasian,9.0,1.0,0.0,0.1111111111111111,0.0
160,FILLMORE,Non-Caucasian,359.0,69.0,0.0,0.19220055710306408,0.0
161,FREEBORN,Non-Caucasian,335.0,132.0,0.0,0.3940298507462687,0.0
162,FREEBORN,Non-Caucasian,784.0,339.0,39.0,0.43239795918367346,0.04974489795918367
163,FREEBORN,Caucasian,25706.0,1888.0,2328.0,0.07344588811950517,0.09056251458803392
164,FREEBORN,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
165,FREEBORN,Non-Caucasian,3066.0,313.0,141.0,0.10208741030658838,0.04598825831702544
166,FREEBORN,Non-Caucasian,41.0,77.0,0.0,1.8780487804878048,0.0
167,FREEBORN,Non-Caucasian,533.0,167.0,0.0,0.3133208255159475,0.0
168,GOODHUE,Non-Caucasian,544.0,226.0,31.0,0.41544117647058826,0.05698529411764706
169,GOODHUE,Non-Caucasian,350.0,57.0,0.0,0.16285714285714287,0.0
170,GOODHUE,Caucasian,42182.0,3199.0,4064.0,0.07583803518088283,0.09634441230856763
171,GOODHUE,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
172,GOODHUE,Non-Caucasian,1616.0,34.0,7.0,0.02103960396039604,0.004331683168316832
173,GOODHUE,Non-Caucasian,358.0,91.0,0.0,0.2541899441340782,0.0
174,GOODHUE,Non-Caucasian,1280.0,292.0,14.0,0.228125,0.0109375
175,GRANT,Non-Caucasian,16.0,3.0,0.0,0.1875,0.0
176,GRANT,Non-Caucasian,1.0,0.0,0.0,0.0,0.0
177,GRANT,Caucasian,5658.0,502.0,0.0,0.08872393071756804,0.0
178,GRANT,Non-Caucasian,0.0,0.0,0.0,0.0,0.0
